closed_at,product_id,position_side,net_size,leverage,opened_at,closure_reason,entry_price,exit_price,profit_loss,profit_loss_pct,mae,mfe,duration_seconds
2025-12-27T15:17:23Z,SOL-PERP-INTX,SHORT,-2.070564850091105,50.0,2025-12-26T15:17:06Z,expired_loss,120.74,123.21,-5.11,-2.0457,-6.14,0.06,86417
2025-12-27T15:17:23Z,ETH-PERP-INTX,LONG,0.0860991241997086,50.0,2025-12-26T15:17:06Z,expired_profit,2903.63,2926.7,1.99,0.7945,0.04,3.05,86417
2025-12-27T15:37:38Z,SEI-PERP-INTX,SHORT,-2262.853005068791,50.0,2025-12-27T10:52:09Z,stop_loss,0.11048,0.1144,-8.87,-3.5482,-9.55,0.18,17129
2025-12-28T06:03:44Z,SUI-PERP-INTX,SHORT,-178.0373166215639,50.0,2025-12-27T05:05:12Z,expired_loss,1.4042,1.4475,-7.71,-3.0836,-9.58,1.92,89912
2025-12-28T06:03:44Z,INJ-PERP-INTX,LONG,53.85609651012494,50.0,2025-12-27T05:05:12Z,expired_profit,4.642,4.814,9.26,3.7053,-3.5,12.49,89912
2025-12-28T12:19:42Z,CRV-PERP-INTX,LONG,652.9119874640899,50.0,2025-12-27T12:14:36Z,expired_profit,0.3829,0.3975,9.53,3.813,-0.91,14.63,86706
2025-12-28T12:19:42Z,LTC-PERP-INTX,LONG,3.203485392106612,50.0,2025-12-27T12:14:36Z,expired_profit,78.04,79.25,3.88,1.5505,-0.13,7.94,86706
2025-12-28T12:49:23Z,ARB-PERP-INTX,LONG,1298.7012987012986,50.0,2025-12-27T12:26:15Z,expired_profit,0.1925,0.1962,4.81,1.9221,-1.17,8.31,87788
2025-12-28T12:49:23Z,ZRO-PERP-INTX,SHORT,-200.8032128514056,50.0,2025-12-27T12:39:20Z,expired_breakeven,1.245,1.245,0.0,0.0,-3.61,0.4,87003
2025-12-28T15:26:31Z,BTC-PERP-INTX,LONG,0.0028579829408141,50.0,2025-12-27T15:24:00Z,expired_profit,87474.28,87917.6,1.27,0.5068,-0.24,1.71,86551
2025-12-28T15:40:37Z,ETH-PERP-INTX,SHORT,-0.0854233581630561,50.0,2025-12-27T15:40:34Z,expired_loss,2926.6,2950.66,-2.06,-0.8221,-2.79,0.95,86403
2025-12-28T15:53:05Z,DOGE-PERP-INTX,SHORT,-2033.0161828088155,50.0,2025-12-27T15:53:01Z,expired_loss,0.12297,0.12432,-2.74,-1.0978,-3.72,0.91,86404
2025-12-28T15:53:05Z,WLD-PERP-INTX,SHORT,-501.5045135406219,50.0,2025-12-27T15:53:01Z,expired_loss,0.4985,0.5077,-4.61,-1.8455,-8.27,0.35,86404
2025-12-28T15:53:05Z,SEI-PERP-INTX,LONG,2184.3599825251204,50.0,2025-12-27T15:53:01Z,expired_profit,0.11445,0.1167,4.91,1.9659,-3.17,6.66,86404
2025-12-29T07:15:10Z,INJ-PERP-INTX,LONG,51.91029900332226,50.0,2025-12-28T06:12:03Z,expired_loss,4.816,4.783,-1.71,-0.6852,-5.71,3.95,90187
2025-12-29T07:15:10Z,ENA-PERP-INTX,LONG,1174.812030075188,50.0,2025-12-28T06:12:03Z,expired_profit,0.2128,0.21411,1.54,0.6156,-8.07,7.2,90187
2025-12-29T07:15:10Z,RENDER-PERP-INTX,LONG,186.84603886397608,50.0,2025-12-28T06:20:44Z,expired_profit,1.338,1.343,0.93,0.3737,-6.73,5.98,89666
2025-12-29T07:15:10Z,SUI-PERP-INTX,SHORT,-172.3305990211622,50.0,2025-12-28T06:26:02Z,expired_loss,1.4507,1.4916,-7.05,-2.8193,-11.17,4.29,89348
2025-12-29T07:15:10Z,FET-PERP-INTX,LONG,1163.873370577281,50.0,2025-12-28T06:26:02Z,expired_profit,0.2148,0.2177,3.38,1.3501,-2.79,8.73,89348
2025-12-29T07:15:10Z,ETH-PERP-INTX,SHORT,-0.0852965761954315,50.0,2025-12-28T18:24:58Z,stop_loss,2930.95,3018.3,-7.45,-2.9803,-10.58,0.55,46212
2025-12-29T07:15:10Z,LINK-PERP-INTX,SHORT,-20.203652820429934,50.0,2025-12-28T18:24:58Z,stop_loss,12.374,12.77,-8.0,-3.2003,-12.93,1.25,46212
2025-12-29T07:15:10Z,BTC-PERP-INTX,SHORT,-0.0028522767100882,50.0,2025-12-28T18:28:30Z,stop_loss,87649.28,89623.4,-5.63,-2.2523,-7.81,0.83,46000
2025-12-29T12:14:52Z,FET-PERP-INTX,LONG,1147.315282239559,50.0,2025-12-29T07:22:05Z,stop_loss,0.2179,0.2104,-8.6,-3.4419,-8.72,2.07,17567
2025-12-29T12:14:52Z,INJ-PERP-INTX,LONG,52.2466039707419,50.0,2025-12-29T07:22:05Z,stop_loss,4.785,4.613,-8.99,-3.5946,-9.3,2.19,17567
