closed_at,product_id,position_side,net_size,leverage,opened_at,closure_reason,entry_price,exit_price,profit_loss,profit_loss_pct,mae,mfe,duration_seconds
2025-10-01T09:00:00Z,PENDLE-PERP-INTX,LONG,113,,2025-10-01T07:50:15Z,take_profit,4.429,4.641592,24.02,4.8,-0.84,12.64,4185
2025-10-02T07:00:00Z,PAXG-PERP-INTX,SHORT,-0.1287,,2025-10-01T07:50:37Z,expired,3883.3239,3876.45,0.88,0.177,-0.56,0.49,83363
2025-10-02T07:00:00Z,EURC-PERP-INTX,SHORT,-425.6,,2025-10-01T07:50:48Z,expired,1.1747,1.1752,-0.21,-0.0426,-0.23,0.26,83352
2025-10-03T00:00:00Z,STRK-PERP-INTX,SHORT,-3239.4,,2025-10-02T16:29:54Z,take_profit,0.154262,0.14685742,23.99,4.8,-1.58,6.86,27006
2025-10-03T13:00:00Z,ZRO-PERP-INTX,SHORT,-219.5,,2025-10-02T16:30:06Z,stop_loss,2.271034,2.3437071,-15.95,-3.2,-10.57,1.5,73794
2025-10-03T15:00:00Z,BCH-PERP-INTX,SHORT,-0.847,,2025-10-02T16:30:16Z,stop_loss,590.15053,607.38948,-14.6,-2.9211,-4.34,0.61,80984
2025-10-03T16:00:00Z,EURC-PERP-INTX,LONG,427.2,,2025-10-02T16:29:45Z,take_profit,1.1707,1.1769317,2.66,0.5323,-0.06,0.55,84615
2025-10-03T21:00:00Z,CAKE-PERP-INTX,SHORT,-139.9,,2025-10-03T18:42:27Z,stop_loss,3.570548,3.6848055,-15.98,-3.2,-4.99,6.78,8253
2025-10-05T16:00:00Z,PENDLE-PERP-INTX,LONG,105.9,,2025-10-04T16:56:34Z,expired,4.727,4.753,2.75,0.55,-0.87,4.21,83006
2025-10-04T18:00:00Z,PAXG-PERP-INTX,SHORT,-0.1285,,2025-10-03T18:42:07Z,expired,3889.32,3898.63,-1.2,-0.2394,-0.3,0.53,83873
2025-10-04T18:00:00Z,EURC-PERP-INTX,SHORT,-425.6,,2025-10-03T18:42:17Z,expired,1.1748,1.1785,-1.57,-0.3149,-0.31,0.02,83863
2025-10-05T02:00:00Z,PENGU-PERP-INTX,LONG,16802,,2025-10-04T18:45:30Z,take_profit,0.029771,0.031200008,24.01,4.8,-0.23,14.31,26070
2025-10-05T04:00:00Z,APT-PERP-INTX,SHORT,-96.8,,2025-10-04T18:46:00Z,stop_loss,5.164,5.329248,-16.0,-3.2,-9.41,0.04,33240
2025-10-05T18:00:00Z,ETHFI-PERP-INTX,SHORT,-270.3,,2025-10-04T18:45:50Z,expired,1.849784,1.8191,8.29,1.6588,-2.6,3.06,83650
2025-10-05T03:00:00Z,ENA-PERP-INTX,LONG,857,,2025-10-04T18:45:20Z,take_profit,0.583652,0.6116673,24.01,4.8,-0.27,8.16,29680
2025-10-05T18:00:00Z,EURC-PERP-INTX,SHORT,-424.3,,2025-10-04T18:45:40Z,expired,1.1784,1.1763,0.89,0.1782,-0.31,0.33,83660
2025-10-06T00:00:00Z,ENA-PERP-INTX,LONG,838,,2025-10-05T18:52:25Z,stop_loss,0.596609,0.57751751,-16.0,-3.2,-5.06,2.41,18455
2025-10-06T17:00:00Z,NEAR-PERP-INTX,SHORT,-167.4,,2025-10-05T18:52:45Z,stop_loss,2.986775,3.0823518,-16.0,-3.2,-3.44,1.81,79635
2025-10-06T17:00:00Z,SUI-PERP-INTX,SHORT,-139.8,,2025-10-05T18:52:54Z,stop_loss,3.574999,3.689399,-15.99,-3.2,-4.05,1.46,79626
2025-10-06T14:00:00Z,PENDLE-PERP-INTX,LONG,106,,2025-10-05T18:52:15Z,take_profit,4.722,4.948656,24.03,4.8,-1.21,6.97,68865
2025-10-06T08:00:00Z,EURC-PERP-INTX,SHORT,-424.9,,2025-10-05T18:52:35Z,take_profit,1.1752,1.1691249,2.58,0.5169,-0.21,0.61,47245
2025-10-06T21:00:00Z,STRK-PERP-INTX,SHORT,-2615.2,,2025-10-06T18:59:19Z,take_profit,0.191532,0.18233846,24.04,4.8,-1.35,13.27,7241
2025-10-07T03:00:00Z,APT-PERP-INTX,SHORT,-91,50,2025-10-06T18:59:23Z,take_profit,5.491,5.227432,23.98,4.8,-0.13,5.43,28837
2025-10-06T19:00:00Z,EURC-PERP-INTX,LONG,426.6,50,2025-10-06T18:59:10Z,take_profit,1.1668,1.1733271,2.78,0.5594,-0.09,0.58,50
2025-10-07T14:00:00Z,ETHFI-PERP-INTX,SHORT,-268.5,50,2025-10-06T19:02:55Z,take_profit,1.860571,1.7712636,23.98,4.8,-0.63,7.18,68225
2025-10-08T03:00:00Z,ZETA-PERP-INTX,LONG,2756.3,,2025-10-07T19:06:54Z,stop_loss,0.181709,0.17589431,-16.03,-3.2,-5.12,1.48,28386
2025-10-08T04:00:00Z,PAXG-PERP-INTX,SHORT,-0.1251,,2025-10-07T19:07:05Z,stop_loss,3995.893,4034.1807,-4.79,-0.9582,-1.98,0.02,31975
2025-10-08T19:00:00Z,APT-PERP-INTX,SHORT,-93.5,,2025-10-07T19:07:25Z,expired,5.349,5.217,12.34,2.4678,-0.52,3.94,85955
2025-10-08T13:00:00Z,PENDLE-PERP-INTX,LONG,103.7,,2025-10-07T19:06:44Z,stop_loss,4.825,4.6706,-16.01,-3.2,-3.25,1.68,64396
2025-10-08T10:00:00Z,ZRO-PERP-INTX,SHORT,-207,,2025-10-07T19:07:15Z,stop_loss,2.423,2.500536,-16.05,-3.2,-3.26,3.43,53565
2025-10-09T02:00:00Z,WLFI-PERP-INTX,LONG,2678,,2025-10-08T18:24:02Z,stop_loss,0.186866,0.18088629,-16.01,-3.2,-7.62,0.93,27358
2025-10-09T08:00:00Z,SUI-PERP-INTX,SHORT,-140.9,,2025-10-08T18:24:33Z,take_profit,3.549515,3.3791383,24.01,4.8,-0.43,6.24,48927
2025-10-09T16:00:00Z,PAXG-PERP-INTX,SHORT,-0.1234,,2025-10-08T18:24:12Z,take_profit,4056.9015,3998.8599,7.16,1.4307,-0.42,2.31,77748
