closed_at,product_id,position_side,net_size,leverage,opened_at,closure_reason,entry_price,exit_price,profit_loss,profit_loss_pct,mae,mfe,duration_seconds,order_id
2025-12-29T12:07:33Z,INJ-PERP-INTX,LONG,52.3,,2025-12-29T07:21:10Z,stop_loss,4.779,4.624562,-8.22,-3.2316,-8.11,2.51,17183,
2025-12-29T12:13:35Z,FET-PERP-INTX,LONG,1148.4,,2025-12-29T07:21:00Z,stop_loss,0.218,0.210431,-8.84,-3.472,-8.84,1.95,17555,
2025-12-29T12:19:29Z,ADA-PERP-INTX,SHORT,-1858.0,,2025-11-07T00:44:15Z,take_profit,0.493881,0.4613,60.04,6.5969,-209.8,287.77,4534513,
2025-12-29T12:41:46Z,BCH-PERP-INTX,LONG,0.407,,2025-12-29T02:29:41Z,stop_loss,614.97371,599.955356,-6.26,-2.4421,-6.81,3.97,36724,
2025-12-29T12:41:48Z,WLD-PERP-INTX,SHORT,-488.38,,2025-12-29T07:20:41Z,take_profit,0.511646,0.4993,5.88,2.4129,-2.27,9.84,19267,
2025-12-29T12:41:48Z,ETH-PERP-INTX,SHORT,-0.0833,,2025-12-29T02:29:12Z,take_profit,2999.477347,2933.5,5.35,2.1996,-4.62,7.68,36756,
2025-12-29T12:41:48Z,ARB-PERP-INTX,LONG,1285.3,,2025-12-28T18:33:11Z,stop_loss,0.194692,0.1912,-4.64,-1.7936,-7.57,6.31,65316,
2025-12-29T12:41:48Z,LTC-PERP-INTX,LONG,0.83,,2025-12-28T18:24:03Z,expired_breakeven,78.69,77.64,-0.92,-1.3343,-1.55,1.23,65865,
2025-12-29T12:41:48Z,ZRO-PERP-INTX,SHORT,-86.2,,2025-12-29T07:20:50Z,take_profit,1.277,1.252,2.11,1.9577,-0.95,3.36,19258,
2025-12-29T12:41:48Z,ADA-PERP-INTX,LONG,377.0,,2025-12-29T12:19:29Z,expired_breakeven,0.3631,0.3653,0.76,0.6059,-0.41,1.06,1339,
